[steam自购]轩辕剑柒配乐精选集 – 吴欣叡;曾志豪 2020 [FLAC/16bit 44.1kHz],https://pan.baidu.com/s/16FFGX4K49SLrJYDqHZiFRw,lf5a,,
全力乙女組 – 《Going Star》 m4a pack,https://pan.baidu.com/s/1ws_wUa3Ia7VTsqMTUxEu2w,986t,,
【FLAC】言和 – 諾,https://pan.baidu.com/s/1EVwU287LDLJEWuWLsihNKg,YYMX,,
reol-エンドレスEP [FLAC],https://pan.baidu.com/s/1t_GprVOQSnkBtCijiKG_dA,s66g,,
(東方名華祭14)[Rolling Contact] Twisted Bouncers 4 (WAV),https://pan.baidu.com/s/1c2wl7JTXFfyLA5q2qw8gGg,q9jx,,
(C96)(同人音楽)(東方)[交響アクティブNEETs] 東方フィルハーモニー交響楽団10 秘 (WAV),https://pan.baidu.com/s/1I4ZmRsmrCoNw-xa9Zw3SzA,419r,,
【Hi-Res】熊熊勇闯异世界 OP イツカノキオク/透明のペダル – 和氣あず未 (24bit/96kHz) FLAC,https://pan.baidu.com/s/1dPu1y-6YojxR7mGpyZoMhg,kuma,,
安达与岛村ED专辑 44.1Khz 自购,https://pan.baidu.com/s/1qROqXUBhSVyfB9yj0ovYkw,4vzh,,
[KNCD-0025] 東方フィルハーモニー交響楽団12 針 [FLAC+SCAN+LOG+CUE],https://1drv.ms/u/s!Asmkq8Fp9qN-jyNXPrwQYgqzGrke,,,
[steam自购]轩辕剑柒配乐精选集 – 吴欣叡;曾志豪 2020 [FLAC/16bit 44.1kHz],https://pan.baidu.com/s/16FFGX4K49SLrJYDqHZiFRw,lf5a,,
全力乙女組 – 《Going Star》 m4a pack,https://pan.baidu.com/s/1ws_wUa3Ia7VTsqMTUxEu2w,986t,,
【TIDAL官方升频1411kbps】三文小説-King Gnu,https://pan.baidu.com/s/1roV0eDGiaGrk4wq7PVZ-Qw,gv0y,,
Hi-Res-ClariS_-_SPRING_TRACKS-春のうた-,https://pan.baidu.com/s/143ldHRY2RsWkw0ciAZJG-w ,pw01,,
[mora自購][Hi-Res]Reol – Q? 96khz/24bit FLAC,https://pan.baidu.com/s/13qGcLqbGdyJ_4xYxqKMp4Q,ukz0,,
(第七回博麗神社秋季例大祭)[Rolling Contact] B/M Gladiator (WAV),https://pan.baidu.com/s/1tHZFdTGgfUzLBFlUIbBbMQ ,p3ca,,
[Hi-Res][201104]TVアニメ『ひぐらしのなく頃に 業』EDテーマ「神様のシンドローム」／彩音[96kHz/24bit][FLAC],https://pan.baidu.com/s/14hb8FuQOqJu0mAi06UVj8g,92sd,,
[131106] 劇場版「魔法少女まどか☆マギカ 叛逆の物語」EDテーマ -「君の銀の庭」／Kalafina (FLAC+BK),https://pan.baidu.com/s/12WIne2Zu3G1vZAzZt-PGVw,acd9,,
Not Lose Rose – 《Blooming blaze!》m4a pack,https://pan.baidu.com/s/1q4NgRvEGl3fpg8q4quDUsA,gljz,,
[mora自购][ハイレゾ]TVアニメ『ご注文はうさぎですか?BLOOM』OPテーマ「天空カフェテリア」[48kHz/24bit FLAC],https://pan.baidu.com/s/16lKX_YYLUnPUx9_s9VQ8EA ,z574,,
花たん Primrose Flower Voice 歌ってみたCD「starduster」无损【FLAC】,https://pan.baidu.com/s/156kL60qgCep6utD8sZ39Xw,h1aq,,
花たん Primrose Flower Voice 歌ってみたCD「シリョクケンサ」无损【FLAC】,https://pan.baidu.com/s/1BLGP3zJ6c5ttR4rsINTEzA,0nyr,,
44.1 CD「ひぐらしのなく頃に」テーマソングコレクション 《寒蝉鸣泣之时》主题曲收藏 when they cry…,https://pan.baidu.com/s/1uhozrh2Ue-c7CVZsSBE5Mg,h652,,
Hi-res 96khz ClariS – ClariS 10th Anniversary BEST – Pink Moon – (2020 Best mora) [96-24] 精选集,https://pan.baidu.com/s/1lIcms7EVc3aJtzq89EEe7Q,my3r,,
Hi-res 96khz ClariS – ClariS 10th Anniversary BEST – Green Star – (2020 Best mora) [96-24],https://pan.baidu.com/s/1Tsga5snkH4LoaQ_AjBa94w,65dd,,
Hi-res 京紫 紫罗兰的永恒花园 Letters and Doll ～Looking back on the memories of Violet Evergarden～ 96kHz 32bit,https://pan.baidu.com/s/1V8ZhxKSrLuLocHNPpFtg2Q,rt7y,,
Hi-res 96khz 32bit 魔女之旅ed 灰色のサーガ Chuocho,https://pan.baidu.com/s/1z_J4IDRJbUGP-DCZMKZROA,pfd8,,
